PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:34:34,855

Sample #,Voltage (V),Current(A)
  588, 313.283, 0.14038
  589, 312.751, 0.12925
  590, 312.184, 0.10438
  591, 311.528, 0.06844
  592, 310.672, 0.03245
  593, 309.468, 0.00682
  594, 307.768, -0.00590
  595, 305.444, -0.01060
  596, 302.397, -0.01341
  597, 298.554, -0.01733
  598, 293.890, -0.02196
  599, 288.436, -0.02592
  600, 282.285, -0.02850
  601, 275.592, -0.02987
  602, 268.552, -0.03030
  603, 261.367, -0.03016
  604, 254.201, -0.02970
  605, 247.130, -0.02929
  606, 240.159, -0.02907
  607, 233.262, -0.02891
  608, 226.437, -0.02875
  609, 219.722, -0.02842
  610, 213.151, -0.02798
  611, 206.721, -0.02751
  612, 200.392, -0.02700
  613, 194.117, -0.02658
  614, 187.871, -0.02631
  615, 181.644, -0.02633
  616, 175.407, -0.02675
  617, 169.094, -0.02743
  618, 162.626, -0.02831
  619, 155.955, -0.02922
  620, 149.090, -0.02986
  621, 142.073, -0.03020
  622, 134.937, -0.03022
  623, 127.691, -0.03018
  624, 120.354, -0.03027
  625, 113.000, -0.03029
  626, 105.743, -0.03004
  627, 98.676, -0.02935
  628, 91.783, -0.02865
  629, 84.945, -0.02853
  630, 77.987, -0.02934
  631, 70.772, -0.03091
  632, 63.246, -0.03261
  633, 55.414, -0.03406
  634, 47.281, -0.03539
  635, 38.818, -0.03694
  636, 29.989, -0.03874
  637, 20.818, -0.04027
  638, 11.425, -0.04090
  639, 1.986, -0.04049
  640, -7.359, -0.03954
  641, -16.555, -0.03869
  642, -25.602, -0.03807
  643, -34.476, -0.03732
  644, -43.101, -0.03607
  645, -51.377, -0.03436
  646, -59.244, -0.03251
  647, -66.690, -0.03075
  648, -73.735, -0.02919
  649, -80.425, -0.02806
  650, -86.849, -0.02765
  651, -93.153, -0.02814
  652, -99.495, -0.02909
  653, -105.961, -0.02967
  654, -112.534, -0.02938
  655, -119.126, -0.02841
  656, -125.661, -0.02748
  657, -132.124, -0.02712
  658, -138.536, -0.02721
  659, -144.918, -0.02738
  660, -151.260, -0.02715
  661, -157.560, -0.02666
  662, -163.838, -0.02627
  663, -170.116, -0.02626
  664, -176.395, -0.02669
  665, -182.652, -0.02712
  666, -188.882, -0.02727
  667, -195.117, -0.02709
  668, -201.401, -0.02671
  669, -207.735, -0.02654
  670, -214.065, -0.02668
  671, -220.341, -0.02717
  672, -226.567, -0.02793
  673, -232.810, -0.02858
  674, -239.145, -0.02885
  675, -245.564, -0.02851
  676, -251.964, -0.02754
  677, -258.196, -0.02633
  678, -264.188, -0.02529
  679, -269.993, -0.02477
  680, -275.744, -0.02466
  681, -281.497, -0.02447
  682, -287.128, -0.02364
  683, -292.352, -0.02171
  684, -296.873, -0.01872
  685, -300.544, -0.01525
  686, -303.407, -0.01185
  687, -305.633, -0.00911
  688, -307.428, -0.00719
  689, -308.969, -0.00599
  690, -310.380, -0.00540
  691, -311.737, -0.00539
  692, -313.065, -0.00597
  693, -314.356, -0.00671
  694, -315.576, -0.00706
  695, -316.680, -0.00658
  696, -317.620, -0.00537
  697, -318.379, -0.00406
  698, -318.976, -0.00311
  699, -319.445, -0.00246
  700, -319.787, -0.00193
  701, -319.958, -0.00138
  702, -319.908, -0.00090
  703, -319.639, -0.00035
  704, -319.220, 0.00073
  705, -318.748, 0.00214
  706, -318.286, 0.00165
  707, -317.854, -0.00461
  708, -317.430, -0.02003
  709, -316.989, -0.04453
  710, -316.514, -0.07353
  711, -316.010, -0.10028
  712, -315.497, -0.12030
  713, -314.993, -0.13366
  714, -314.495, -0.14312
  715, -313.987, -0.14955
  716, -313.465, -0.14915
  717, -312.935, -0.13592
  718, -312.384, -0.10770
  719, -311.731, -0.06982
  720, -310.831, -0.03278
  721, -309.515, -0.00574
  722, -307.650, 0.00852
  723, -305.145, 0.01351
  724, -301.936, 0.01503
  725, -297.979, 0.01703
  726, -293.266, 0.02063
  727, -287.840, 0.02486
  728, -281.792, 0.02816
  729, -275.245, 0.02958
  730, -268.342, 0.02937
  731, -261.246, 0.02887
  732, -254.114, 0.02930
  733, -247.058, 0.03042
  734, -240.124, 0.03096
  735, -233.314, 0.03010
  736, -226.611, 0.02865
  737, -220.009, 0.02806
  738, -213.508, 0.02857
  739, -207.097, 0.02900
  740, -200.753, 0.02822
  741, -194.445, 0.02676
  742, -188.145, 0.02630
  743, -181.819, 0.02739
  744, -175.428, 0.02881
  745, -168.929, 0.02908
  746, -162.293, 0.02829
  747, -155.511, 0.02801
  748, -148.593, 0.02924
  749, -141.559, 0.03112
  750, -134.421, 0.03200
  751, -127.195, 0.03138
  752, -119.922, 0.03037
  753, -112.679, 0.03016
  754, -105.555, 0.03058
  755, -98.597, 0.03057
  756, -91.780, 0.02980
  757, -84.986, 0.02935
  758, -78.058, 0.03042
  759, -70.862, 0.03276
  760, -63.339, 0.03477
  761, -55.495, 0.03518
  762, -47.352, 0.03447
  763, -38.891, 0.03447
  764, -30.071, 0.03642
  765, -20.902, 0.03966
  766, -11.499, 0.04224
  767, -2.041, 0.04250
