PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:30:30,450

Sample #,Voltage (V),Current(A)
  881, 110.912, -0.03214
  882, 103.686, -0.03151
  883, 96.618, -0.03083
  884, 89.708, -0.03033
  885, 82.857, -0.03029
  886, 75.902, -0.03085
  887, 68.708, -0.03188
  888, 61.222, -0.03299
  889, 53.451, -0.03395
  890, 45.392, -0.03498
  891, 36.995, -0.03656
  892, 28.197, -0.03873
  893, 19.013, -0.04080
  894, 9.574, -0.04187
  895, 0.065, -0.04166
  896, -9.364, -0.04074
  897, -18.643, -0.03983
  898, -27.741, -0.03913
  899, -36.608, -0.03827
  900, -45.163, -0.03690
  901, -53.329, -0.03507
  902, -61.056, -0.03308
  903, -68.332, -0.03112
  904, -75.177, -0.02934
  905, -81.679, -0.02798
  906, -87.997, -0.02740
  907, -94.310, -0.02762
  908, -100.727, -0.02823
  909, -107.233, -0.02866
  910, -113.753, -0.02861
  911, -120.234, -0.02831
  912, -126.689, -0.02802
  913, -133.154, -0.02796
  914, -139.635, -0.02809
  915, -146.117, -0.02826
  916, -152.573, -0.02848
  917, -158.998, -0.02856
  918, -165.385, -0.02853
  919, -171.722, -0.02843
  920, -178.013, -0.02837
  921, -184.285, -0.02850
  922, -190.570, -0.02854
  923, -196.884, -0.02830
  924, -203.214, -0.02778
  925, -209.541, -0.02721
  926, -215.861, -0.02704
  927, -222.183, -0.02726
  928, -228.518, -0.02761
  929, -234.873, -0.02788
  930, -241.249, -0.02794
  931, -247.615, -0.02785
  932, -253.912, -0.02757
  933, -260.063, -0.02699
  934, -266.035, -0.02625
  935, -271.858, -0.02566
  936, -277.595, -0.02544
  937, -283.238, -0.02515
  938, -288.645, -0.02405
  939, -293.576, -0.02173
  940, -297.803, -0.01837
  941, -301.221, -0.01479
  942, -303.863, -0.01183
  943, -305.867, -0.00988
  944, -307.418, -0.00901
  945, -308.722, -0.00893
  946, -309.974, -0.00918
  947, -311.293, -0.00919
  948, -312.678, -0.00858
  949, -314.030, -0.00757
  950, -315.234, -0.00650
  951, -316.237, -0.00570
  952, -317.069, -0.00523
  953, -317.776, -0.00477
  954, -318.367, -0.00427
  955, -318.799, -0.00366
  956, -319.016, -0.00279
  957, -319.002, -0.00157
  958, -318.794, -0.00028
  959, -318.462, 0.00047
  960, -318.073, 0.00040
  961, -317.670, 0.00006
  962, -317.265, 0.00023
  963, -316.862, 0.00008
  964, -316.455, -0.00406
  965, -316.040, -0.01725
  966, -315.608, -0.04224
  967, -315.159, -0.07635
  968, -314.693, -0.11196
  969, -314.211, -0.14077
  970, -313.710, -0.15758
  971, -313.188, -0.16100
  972, -312.657, -0.15168
  973, -312.124, -0.13044
  974, -311.558, -0.09917
  975, -310.862, -0.06272
  976, -309.879, -0.02854
  977, -308.457, -0.00359
  978, -306.483, 0.00967
